probe_id,miss_class,probe_target_identifier,probe_target_title,probe_target_source,probe_target_year,paperclip_command,paperclip_result,resolved_id,hit_or_miss,notes
P01-annual-reviews,annual-reviews,38166256,T Cell Exhaustion.,Annual review of immunology,2024 Jun,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1146/annurev-immunol-090222-110914; PMCID=; packets=P01-annual-reviews__lookup_doi.txt;P01-annual-reviews__lookup_pmid.txt
P02-annual-reviews,annual-reviews,32196426,Seasonality of Respiratory Viral Infections.,Annual review of virology,2020 Sep 29,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1146/annurev-virology-012420-022445; PMCID=; packets=P02-annual-reviews__lookup_doi.txt;P02-annual-reviews__lookup_pmid.txt
P03-annual-reviews,annual-reviews,36750315,Structural Mechanisms of NLRP3 Inflammasome Assembly and Activation.,Annual review of immunology,2023 Apr 26,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1146/annurev-immunol-081022-021207; PMCID=PMC10159982; packets=P03-annual-reviews__lookup_doi.txt;P03-annual-reviews__lookup_pmid.txt
P04-nat-med-recent,nat-med-recent,36109639,Anti-CD19 CAR T cell therapy for refractory systemic lupus erythematosus.,Nature medicine,2022 Oct,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1038/s41591-022-02017-5; PMCID=; packets=P04-nat-med-recent__lookup_doi.txt;P04-nat-med-recent__lookup_pmid.txt
P05-nat-med-recent,nat-med-recent,36216945,Two-year effects of semaglutide in adults with overweight or obesity: the STEP 5 trial.,Nature medicine,2022 Oct,lookup doi/pmid,doi=miss; pmid=hit,PMC9556320,hit,DOI=10.1038/s41591-022-02026-4; PMCID=PMC9556320; packets=P05-nat-med-recent__lookup_doi.txt;P05-nat-med-recent__lookup_pmid.txt
P06-nat-med-recent,nat-med-recent,36008722,"Cemiplimab plus chemotherapy versus chemotherapy alone in non-small cell lung cancer: a randomized, controlled, double-blind phase 3 trial.",Nature medicine,2022 Nov,lookup doi/pmid,doi=miss; pmid=hit,PMC9671806,hit,DOI=10.1038/s41591-022-01977-y; PMCID=PMC9671806; packets=P06-nat-med-recent__lookup_doi.txt;P06-nat-med-recent__lookup_pmid.txt
P07-pre1980-nejm,pre1980-nejm,226885,Hormone receptors.,The New England journal of medicine,1979 Nov 22,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1056/NEJM197911223012104; PMCID=; packets=P07-pre1980-nejm__lookup_doi.txt;P07-pre1980-nejm__lookup_pmid.txt
P08-pre1980-nejm,pre1980-nejm,111125,Transplantation.,The New England journal of medicine,1979 Aug 30,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1056/NEJM197908303010904; PMCID=; packets=P08-pre1980-nejm__lookup_doi.txt;P08-pre1980-nejm__lookup_pmid.txt
P09-pre1980-nejm,pre1980-nejm,460310,Hypouricemia.,The New England journal of medicine,1979 Sep 6,lookup doi/pmid,doi=miss; pmid=miss,,miss,DOI=10.1056/NEJM197909063011011; PMCID=; packets=P09-pre1980-nejm__lookup_doi.txt;P09-pre1980-nejm__lookup_pmid.txt
P10-paywalled-non-pmc,paywalled-non-pmc,30982686,"Perioperative chemotherapy with fluorouracil plus leucovorin, oxaliplatin, and docetaxel versus fluorouracil or capecitabine plus cisplatin and epirubicin for locally advanced, resectable gastric or gastro-oesophageal junction adenocarcinoma (FLOT4): a randomised, phase 2/3 trial.","Lancet (London, England)",2019 May 11,lookup doi/pmid,"doi=miss; pmid=miss",,miss,"DOI=10.1016/S0140-6736(18)32557-1; PMCID="
P11-paywalled-non-pmc,paywalled-non-pmc,31590988,"Durvalumab plus platinum-etoposide versus platinum-etoposide in first-line treatment of extensive-stage small-cell lung cancer (CASPIAN): a randomised, controlled, open-label, phase 3 trial.","Lancet (London, England)",2019 Nov 23,lookup doi/pmid,"doi=miss; pmid=miss",,miss,"DOI=10.1016/S0140-6736(19)32222-6; PMCID="
P12-paywalled-non-pmc,paywalled-non-pmc,31679945,"Pembrolizumab alone or with chemotherapy versus cetuximab with chemotherapy for recurrent or metastatic squamous cell carcinoma of the head and neck (KEYNOTE-048): a randomised, open-label, phase 3 study.","Lancet (London, England)",2019 Nov 23,lookup doi/pmid,"doi=miss; pmid=miss",,miss,"DOI=10.1016/S0140-6736(19)32591-7; PMCID="
